depth_fsw,bottom_time_min,gas_mix,time_to_first_stop,stop_130,stop_120,stop_110,stop_100,stop_90,stop_80,stop_70,stop_60,stop_50,stop_40,stop_30,stop_20,total_ascent_time,chamber_o2_periods,repeat_group,section,source_page,notes
10,57,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
10,101,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
10,158,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
10,245,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
10,426,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
15,36,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
15,60,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
15,88,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
15,121,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
15,163,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
15,217,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
15,297,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
15,449,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
20,26,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
20,43,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
20,61,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
20,82,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
20,106,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
20,133,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
20,165,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
20,205,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
20,256,AIR,,,,,,,,,,,,,,,,I,no_decompression,,
20,330,AIR,,,,,,,,,,,,,,,,J,no_decompression,,
20,461,AIR,,,,,,,,,,,,,,,,K,no_decompression,,
25,20,AIR,,,,,,,,,,,,,,,,A,no_decompression,,
25,33,AIR,,,,,,,,,,,,,,,,B,no_decompression,,
25,47,AIR,,,,,,,,,,,,,,,,C,no_decompression,,
25,62,AIR,,,,,,,,,,,,,,,,D,no_decompression,,
25,78,AIR,,,,,,,,,,,,,,,,E,no_decompression,,
25,97,AIR,,,,,,,,,,,,,,,,F,no_decompression,,
25,117,AIR,,,,,,,,,,,,,,,,G,no_decompression,,
25,140,AIR,,,,,,,,,,,,,,,,H,no_decompression,,
25,166,AIR,,,,,,,,,,,,,,,,I,no_decompression,,
25,198,AIR,,,,,,,,,,,,,,,,J,no_decompression,,
25,236,AIR,,,,,,,,,,,,,,,,K,no_decompression,,
