depth_fsw,bottom_time_min,gas_mix,time_to_first_stop,stop_190,stop_180,stop_170,stop_160,stop_150,stop_140,stop_130,stop_120,stop_110,stop_100,stop_90,stop_80,stop_70,stop_60,stop_50,stop_40,stop_30,stop_20,total_ascent_time,chamber_o2_periods,section,source_page,notes
60,10,14.0-40.0,2:00,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
60,20,14.0-40.0,2:00,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
60,30,14.0-40.0,2:00,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
60,40,14.0-40.0,2:00,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
60,60,14.0-40.0,0:40,,,,,,,,,,,,,,,,10,11,16,,1,decompression,12-31,manual reviewed
60,80,14.0-40.0,0:40,,,,,,,,,,,,,,,,10,13,22,,2,decompression,12-31,manual reviewed
60,100,14.0-40.0,0:40,,,,,,,,,,,,,,,,10,16,27,,2,decompression,12-31,manual reviewed
60,120,14.0-40.0,0:40,,,,,,,,,,,,,,,,10,17,28,,2,decompression,12-31,manual reviewed
70,10,14.0-40.0,2:20,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
70,20,14.0-40.0,2:20,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
70,30,14.0-40.0,2:20,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
70,40,14.0-40.0,1:00,,,,,,,,,,,,,,,,10,10,16,,1,decompression,12-31,manual reviewed
70,60,14.0-40.0,1:00,,,,,,,,,,,,,,,,10,14,24,,2,decompression,12-31,manual reviewed
70,80,14.0-40.0,1:00,,,,,,,,,,,,,,,,10,18,30,,2,decompression,12-31,manual reviewed
70,100,14.0-40.0,1:00,,,,,,,,,,,,,,,,10,19,34,,2,decompression,12-31,manual reviewed
70,120,14.0-40.0,1:00,,,,,,,,,,,,,,,,10,21,37,,2,decompression,12-31,manual reviewed
80,10,14.0-38.0,2:40,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
80,20,14.0-38.0,2:40,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
80,25,14.0-38.0,2:40,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
80,30,14.0-38.0,1:20,,,,,,,,,,,,,,,,10,11,16,,1,decompression,12-31,manual reviewed
80,40,14.0-38.0,1:20,,,,,,,,,,,,,,,,10,13,21,,2,decompression,12-31,manual reviewed
80,60,14.0-38.0,1:20,,,,,,,,,,,,,,,,10,18,32,,2,decompression,12-31,manual reviewed
80,80,14.0-38.0,1:20,,,,,,,,,,,,,,,,10,21,38,,2,decompression,12-31,manual reviewed
80,100,14.0-38.0,1:20,,,,,,,,,,,,,,,,10,24,42,,3,decompression,12-31,manual reviewed
80,120,14.0-38.0,1:20,,,,,,,,,,,,,,,,10,25,45,,3,decompression,12-31,manual reviewed
90,10,14.0-34.9,3:00,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
90,20,14.0-34.9,3:00,,,,,,,,,,,,,,,,,,,,,no_decompression,12-31,manual reviewed
90,30,14.0-34.9,1:40,,,,,,,,,,,,,,,,10,13,21,,2,decompression,12-31,manual reviewed
90,40,14.0-34.9,1:40,,,,,,,,,,,,,,,,10,16,26,,2,decompression,12-31,manual reviewed
90,60,14.0-34.9,1:40,,,,,,,,,,,,,,,,10,21,38,,2,decompression,12-31,manual reviewed
90,80,14.0-34.9,1:40,,,,,,,,,,,,,,,,10,25,45,,3,decompression,12-31,manual reviewed
90,100,14.0-34.9,1:40,,,,,,,,,,,,,,,,10,28,50,,3,decompression,12-31,manual reviewed
90,120,14.0-34.9,1:40,,,,,,,,,,,,,,,,10,29,52,,3,decompression,12-31,manual reviewed
100,10,14.0-32.3,3:20,,,,,,,,,,,,,,,,,,,,,no_decompression,12-32,manual reviewed
100,15,14.0-32.3,3:20,,,,,,,,,,,,,,,,,,,,,no_decompression,12-32,manual reviewed
100,20,14.0-32.3,2:00,,,,,,,,,,,,,,,,10,11,17,,1,decompression,12-32,manual reviewed
100,30,14.0-32.3,2:00,,,,,,,,,,,,,,,,10,15,24,,2,decompression,12-32,manual reviewed
100,40,14.0-32.3,2:00,,,,,,,,,,,,,,,,10,18,32,,2,decompression,12-32,manual reviewed
100,60,14.0-32.3,2:00,,,,,,,,,,,,,,,,10,25,44,,3,decompression,12-32,manual reviewed
100,80,14.0-32.3,2:00,,,,,,,,,,,,,,,,10,28,52,,3,decompression,12-32,manual reviewed
100,100,14.0-32.3,2:00,,,,,,,,,,,,,,,,10,31,56,,3,decompression,12-32,manual reviewed
100,120,14.0-32.3,2:00,,,,,,,,,,,,,,,,10,32,58,,3,decompression,12-32,manual reviewed
110,10,14.0-30.0,2:20,,,,,,,,,,,,,,,,10,8,11,,1,decompression,12-32,manual reviewed
110,20,14.0-30.0,2:20,,,,,,,,,,,,,,,,10,12,20,,1,decompression,12-32,manual reviewed
110,30,14.0-30.0,2:20,,,,,,,,,,,,,,,,10,17,28,,2,decompression,12-32,manual reviewed
110,40,14.0-30.0,2:20,,,,,,,,,,,,,,,,10,20,36,,2,decompression,12-32,manual reviewed
110,60,14.0-30.0,2:20,,,,,,,,,,,,,,,,10,27,49,,3,decompression,12-32,manual reviewed
110,80,14.0-30.0,2:20,,,,,,,,,,,,,,,,10,31,58,,3,decompression,12-32,manual reviewed
110,100,14.0-30.0,2:20,,,,,,,,,,,,,,,,10,33,62,,4,decompression,12-32,manual reviewed
110,120,14.0-30.0,2:20,,,,,,,,,,,,,,,,10,35,64,,4,decompression,12-32,manual reviewed exceptional exposure
120,10,14.0-28.0,2:40,,,,,,,,,,,,,,,,10,9,13,,1,decompression,12-32,manual reviewed
120,20,14.0-28.0,2:40,,,,,,,,,,,,,,,,10,14,23,,2,decompression,12-32,manual reviewed
120,30,14.0-28.0,2:40,,,,,,,,,,,,,,,,10,19,33,,2,decompression,12-32,manual reviewed
120,40,14.0-28.0,2:40,,,,,,,,,,,,,,,,10,23,42,,3,decompression,12-32,manual reviewed
120,60,14.0-28.0,2:40,,,,,,,,,,,,,,,,10,30,55,,3,decompression,12-32,manual reviewed
120,80,14.0-28.0,2:40,,,,,,,,,,,,,,,,10,34,63,,4,decompression,12-32,manual reviewed
120,100,14.0-28.0,2:40,,,,,,,,,,,,,,,,10,36,66,,4,decompression,12-32,manual reviewed
120,120,14.0-28.0,2:20,,,,,,,,,,,,,,,10,10,35,65,,4,decompression,12-32,manual reviewed exceptional exposure
130,10,14.0-26.3,2:40,,,,,,,,,,,,,,,10,10,6,8,,1,decompression,12-32,manual reviewed
130,20,14.0-26.3,2:40,,,,,,,,,,,,,,,10,10,12,19,,1,decompression,12-32,manual reviewed
130,30,14.0-26.3,2:40,,,,,,,,,,,,,,,10,10,18,30,,2,decompression,12-32,manual reviewed
130,40,14.0-26.3,2:20,,,,,,,,,,,,,,7,10,10,22,40,,2,decompression,12-32,manual reviewed
130,60,14.0-26.3,2:20,,,,,,,,,,,,,,7,10,10,29,52,,3,decompression,12-32,manual reviewed
130,80,14.0-26.3,2:20,,,,,,,,,,,,,,7,10,10,33,60,,3,decompression,12-32,manual reviewed
130,100,14.0-26.3,2:20,,,,,,,,,,,,,,7,10,10,35,64,,4,decompression,12-32,manual reviewed exceptional exposure
130,120,14.0-26.3,2:20,,,,,,,,,,,,,,7,11,11,35,66,,4,decompression,12-32,manual reviewed exceptional exposure
140,10,14.0-24.8,3:00,,,,,,,,,,,,,,,10,10,6,8,,1,decompression,12-33,manual reviewed
140,20,14.0-24.8,3:00,,,,,,,,,,,,,,,10,10,12,19,,1,decompression,12-33,manual reviewed
140,30,14.0-24.8,3:00,,,,,,,,,,,,,,,10,10,18,30,,2,decompression,12-33,manual reviewed
