depth_fsw,bottom_time_min,gas_mix,time_to_first_stop,stop_130,stop_120,stop_110,stop_100,stop_90,stop_80,stop_70,stop_60,stop_50,stop_40,stop_30,stop_20,chamber_o2_periods,repeat_group
30,371,AIR,1:00,,,,,,,,,,,,,0,Z
30,380,AIR,0:20,,,,,,,,,,,,5,0.5,Z
30,420,AIR,0:20,,,,,,,,,,,,22,0.5,Z
30,480,AIR,0:20,,,,,,,,,,,,42,0.5,Z
30,540,AIR,0:20,,,,,,,,,,,,71,1,
30,600,AIR,0:20,,,,,,,,,,,,92,1,
30,660,AIR,0:20,,,,,,,,,,,,120,1,
30,720,AIR,0:20,,,,,,,,,,,,158,1,
35,232,AIR,1:10,,,,,,,,,,,,,0,Z
35,240,AIR,0:30,,,,,,,,,,,,4,0.5,Z
35,270,AIR,0:30,,,,,,,,,,,,28,0.5,Z
35,300,AIR,0:30,,,,,,,,,,,,53,0.5,Z
35,330,AIR,0:30,,,,,,,,,,,,71,1,Z
35,360,AIR,0:30,,,,,,,,,,,,88,1,
35,420,AIR,0:30,,,,,,,,,,,,134,1.5,
35,480,AIR,0:30,,,,,,,,,,,,173,1.5,
35,540,AIR,0:30,,,,,,,,,,,,228,2,
35,600,AIR,0:30,,,,,,,,,,,,277,2,
35,660,AIR,0:30,,,,,,,,,,,,314,2.5,
35,720,AIR,0:30,,,,,,,,,,,,342,3,
40,163,AIR,1:20,,,,,,,,,,,,,0,O
40,170,AIR,0:40,,,,,,,,,,,,6,0.5,O
40,180,AIR,0:40,,,,,,,,,,,,14,0.5,Z
40,190,AIR,0:40,,,,,,,,,,,,21,0.5,Z
40,200,AIR,0:40,,,,,,,,,,,,27,0.5,Z
40,210,AIR,0:40,,,,,,,,,,,,39,0.5,Z
40,220,AIR,0:40,,,,,,,,,,,,52,0.5,Z
40,230,AIR,0:40,,,,,,,,,,,,64,1,Z
40,240,AIR,0:40,,,,,,,,,,,,75,1,Z
40,270,AIR,0:40,,,,,,,,,,,,101,1,Z
40,300,AIR,0:40,,,,,,,,,,,,128,1.5,
40,330,AIR,0:40,,,,,,,,,,,,160,1.5,
40,360,AIR,0:40,,,,,,,,,,,,184,2,
40,420,AIR,0:40,,,,,,,,,,,,248,2.5,
40,480,AIR,0:40,,,,,,,,,,,,321,2.5,
40,540,AIR,0:40,,,,,,,,,,,,372,3,
40,600,AIR,0:40,,,,,,,,,,,,410,3.5,
40,660,AIR,0:40,,,,,,,,,,,,439,4,
40,720,AIR,0:40,,,,,,,,,,,,461,4.5,
45,125,AIR,1:30,,,,,,,,,,,,,0,N
45,130,AIR,0:50,,,,,,,,,,,,2,0.5,O
45,140,AIR,0:50,,,,,,,,,,,,14,0.5,O
45,150,AIR,0:50,,,,,,,,,,,,25,0.5,Z
45,160,AIR,0:50,,,,,,,,,,,,34,0.5,Z
45,170,AIR,0:50,,,,,,,,,,,,41,1,Z
45,180,AIR,0:50,,,,,,,,,,,,59,1,Z
45,190,AIR,0:50,,,,,,,,,,,,71,1,Z
45,200,AIR,0:50,,,,,,,,,,,,89,1,Z
45,210,AIR,0:50,,,,,,,,,,,,107,1,Z
45,220,AIR,0:50,,,,,,,,,,,,122,1.5,Z
45,230,AIR,0:50,,,,,,,,,,,,130,1.5,Z
45,240,AIR,0:50,,,,,,,,,,,,173,2,
45,300,AIR,0:50,,,,,,,,,,,,206,2,
45,330,AIR,0:50,,,,,,,,,,,,243,2.5,
45,360,AIR,0:50,,,,,,,,,,,,288,3,
45,420,AIR,0:50,,,,,,,,,,,,373,3.5,
45,480,AIR,0:50,,,,,,,,,,,,431,4,
45,540,AIR,0:50,,,,,,,,,,,,473,4.5,
50,92,AIR,1:40,,,,,,,,,,,,,0,M
50,95,AIR,1:00,,,,,,,,,,,,2,0.5,M
50,100,AIR,1:00,,,,,,,,,,,,4,0.5,N
50,110,AIR,1:00,,,,,,,,,,,,8,0.5,O
50,120,AIR,1:00,,,,,,,,,,,,21,0.5,O
50,130,AIR,1:00,,,,,,,,,,,,34,0.5,Z
50,140,AIR,1:00,,,,,,,,,,,,45,1,Z
50,150,AIR,1:00,,,,,,,,,,,,56,1,Z
50,160,AIR,1:00,,,,,,,,,,,,78,1,Z
50,170,AIR,1:00,,,,,,,,,,,,96,1,Z
50,180,AIR,1:00,,,,,,,,,,,,111,1.5,Z
50,190,AIR,1:00,,,,,,,,,,,,125,1.5,Z
50,200,AIR,1:00,,,,,,,,,,,,136,1.5,Z
50,210,AIR,1:00,,,,,,,,,,,,147,2,
50,220,AIR,1:00,,,,,,,,,,,,166,2,
50,230,AIR,1:00,,,,,,,,,,,,183,2,
50,240,AIR,1:00,,,,,,,,,,,,198,2,
