depth_fsw,bottom_time_min,gas_mix,time_to_first_stop,stop_130,stop_120,stop_110,stop_100,stop_90,stop_80,stop_70,stop_60,stop_50,stop_40,stop_30,stop_20,total_ascent_time,chamber_o2_periods,repeat_group,section,source_page,notes
30,371,AIR/O2,1:00,,,,,,,,,,,,0,1:00,,Z,csv_import,9-65,
30,380,AIR/O2,0:20,,,,,,,,,,,,1,2:00,,Z,csv_import,9-65,
30,420,AIR/O2,0:20,,,,,,,,,,,,5,6:00,,Z,csv_import,9-65,
30,480,AIR/O2,0:20,,,,,,,,,,,,9,10:00,,,csv_import,9-65,
30,540,AIR/O2,0:20,,,,,,,,,,,,14,15:00,,,csv_import,9-65,
30,600,AIR/O2,0:20,,,,,,,,,,,,19,20:00,,,csv_import,9-65,
30,660,AIR/O2,0:20,,,,,,,,,,,,22,23:00,,,csv_import,9-65,
30,720,AIR/O2,0:20,,,,,,,,,,,,27,28:00,,,csv_import,9-65,
35,232,AIR/O2,1:10,,,,,,,,,,,,0,1:10,,Z,csv_import,9-65,
35,240,AIR/O2,0:30,,,,,,,,,,,,2,3:10,,Z,csv_import,9-65,
35,270,AIR/O2,0:30,,,,,,,,,,,,7,8:10,,Z,csv_import,9-65,
35,300,AIR/O2,0:30,,,,,,,,,,,,13,14:10,,Z,csv_import,9-65,
35,330,AIR/O2,0:30,,,,,,,,,,,,18,19:10,,Z,csv_import,9-65,
35,360,AIR/O2,0:30,,,,,,,,,,,,22,23:10,,,csv_import,9-65,
35,420,AIR/O2,0:30,,,,,,,,,,,,29,30:10,,,csv_import,9-65,
35,480,AIR/O2,0:30,,,,,,,,,,,,38,44:10,,,csv_import,9-65,
35,540,AIR/O2,0:30,,,,,,,,,,,,45,51:10,,,csv_import,9-65,
35,600,AIR/O2,0:30,,,,,,,,,,,,53,59:10,,,csv_import,9-65,
35,660,AIR/O2,0:30,,,,,,,,,,,,63,69:10,,,csv_import,9-65,
35,720,AIR/O2,0:30,,,,,,,,,,,,71,82:10,,,csv_import,9-65,
40,163,AIR/O2,1:20,,,,,,,,,,,,0,1:20,,O,csv_import,9-66,
40,170,AIR/O2,0:40,,,,,,,,,,,,2,3:20,,O,csv_import,9-66,
40,180,AIR/O2,0:40,,,,,,,,,,,,5,6:20,,Z,csv_import,9-66,
40,190,AIR/O2,0:40,,,,,,,,,,,,7,8:20,,Z,csv_import,9-66,
40,200,AIR/O2,0:40,,,,,,,,,,,,9,10:20,,Z,csv_import,9-66,
40,210,AIR/O2,0:40,,,,,,,,,,,,11,12:20,,Z,csv_import,9-66,
40,220,AIR/O2,0:40,,,,,,,,,,,,12,13:20,,Z,csv_import,9-66,
